Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0041,-0.0,0.004,-0.0408,0.0001
2q,-0.0075,-0.0005,0.0088,-0.0719,0.0002
4q,-0.0156,-0.0006,0.0184,-0.1348,0.0004
8q,-0.0404,-0.0006,0.0342,-0.2282,0.0011
12q,-0.0769,-0.0012,0.0508,-0.3347,0.0016
