Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.73,2.32,0.95,5.15,0.06
2q,1.04,2.42,1.36,7.06,0.08
4q,1.96,2.42,2.52,10.52,0.11
8q,3.78,1.69,5.09,15.87,0.13
12q,4.6,1.55,7.17,18.17,0.14
