Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0021,0.0181,-0.0138,0.002,0.0004
2q,-0.0042,0.0167,-0.0135,0.0026,0.0006
4q,-0.0091,0.0207,-0.0157,0.0023,0.001
8q,-0.0266,0.0154,-0.0231,0.0006,0.0016
12q,-0.0541,0.0165,-0.0362,0.0116,0.002
