Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.0036,0.0045,-0.0158,-0.0073,0.0004
2q,-0.0062,0.0052,-0.021,-0.0158,0.0006
4q,-0.0079,0.0061,-0.0262,-0.0283,0.001
8q,-0.0095,0.0076,-0.0356,-0.0263,0.0016
12q,-0.0115,0.0075,-0.0449,0.004,0.0021
