Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-3.3,-35.2,-28.5,-6.9,-87.0
2q,9.5,-23.6,-8.7,-1.2,-46.7
4q,-0.6,-28.2,-3.0,1.0,-21.0
8q,1.2,-19.1,1.5,-5.5,-12.2
12q,25.8,0.0,3.7,-2.0,-6.4
