Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.002,0.0008,-0.0042,-0.0043,0.0005
2q,-0.0034,0.0011,-0.007,-0.0077,0.0009
4q,-0.006,0.0011,-0.011,-0.0125,0.0017
8q,-0.0067,0.0011,-0.0157,-0.0154,0.0032
12q,-0.0064,0.0013,-0.0203,-0.0151,0.0043
