Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.55,1.27,0.57,1.35,0.03
2q,1.0,1.37,0.92,2.42,0.06
4q,1.96,1.44,1.75,4.68,0.11
8q,3.45,1.32,3.4,7.76,0.16
12q,4.95,1.4,4.78,8.52,0.2
