Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.62,3.04,1.62,2.06,0.06
2q,1.06,2.55,1.77,3.23,0.08
4q,1.63,3.12,2.72,4.53,0.11
8q,2.27,2.34,3.58,5.09,0.13
12q,3.09,2.86,4.42,6.84,0.14
