Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-8.6,-12.0,0.9,-92.7,-7.1
2q,5.2,-7.1,2.8,-70.9,-37.1
4q,5.1,-4.2,0.0,-20.5,-84.4
8q,-4.5,1.9,0.6,-18.5,-164.6
12q,-10.1,2.0,0.8,-15.8,-167.3
