Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.9,-7.3,-39.3,6.9,-88.3
2q,2.4,-13.1,-23.0,-0.2,-59.9
4q,11.5,-6.7,-4.7,2.0,-60.0
8q,10.6,-0.4,-2.5,10.3,-100.0
12q,24.4,-5.0,-10.7,26.4,-108.8
