Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,9.4,0.7,10.2,7.5,-7.1
2q,13.4,0.6,18.3,14.3,-37.1
4q,11.7,5.8,12.3,12.7,-84.4
8q,5.5,3.5,3.1,5.2,-164.6
12q,0.9,1.8,0.2,-4.8,-167.3
