Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.67,0.63,0.97,3.13,0.03
2q,1.21,0.6,1.76,5.16,0.06
4q,2.52,0.62,3.43,10.04,0.11
8q,4.92,0.55,6.28,18.44,0.16
12q,6.48,0.51,7.66,23.82,0.2
