Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.91,1.2,2.07,3.51,0.07
2q,1.49,1.21,2.67,5.79,0.1
4q,2.1,1.25,3.51,8.09,0.18
8q,3.05,1.19,4.54,9.2,0.32
12q,4.73,1.19,6.74,12.53,0.42
