Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-0.9,7.5,1.7,8.5,-7.1
2q,0.9,7.2,2.7,14.3,-37.1
4q,-1.0,1.7,1.8,13.0,-84.4
8q,-0.9,2.6,-2.6,6.3,-164.6
12q,0.0,2.1,-6.3,3.1,-167.3
