Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,6.6,6.1,18.4,2.9,4.1
2q,17.9,2.9,35.3,3.7,12.8
4q,10.4,13.3,55.7,9.9,15.3
8q,17.2,-7.7,56.9,10.5,28.1
12q,40.6,-29.6,34.9,8.6,33.2
