Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,-4.1,10.2,-27.3,-7.8,-7.1
2q,-10.1,9.7,-60.8,-9.3,-37.1
4q,-26.4,3.9,-71.2,-14.1,-84.4
8q,-25.1,2.0,-111.6,-29.6,-164.6
12q,-22.4,2.1,-99.2,-28.8,-167.3
