Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.0002,-0.0002,-0.0019,-0.0038,0.0004
2q,0.0015,-0.0021,-0.0015,-0.0067,0.0004
4q,0.0038,-0.0021,-0.0007,-0.0117,0.0006
8q,0.0033,-0.0032,-0.0065,-0.0239,0.0011
12q,-0.0006,-0.0046,-0.0158,-0.0408,0.0014
