Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.6,1.0,14.3,2.6,3.7
2q,9.1,0.1,26.9,7.7,11.0
4q,20.1,4.5,36.9,11.2,13.2
8q,33.7,2.9,40.2,16.1,25.7
12q,44.1,12.6,39.6,22.6,32.7
