Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.97,0.8,1.63,3.22,0.07
2q,1.51,0.79,2.2,4.24,0.11
4q,2.86,0.8,3.55,6.78,0.18
8q,5.21,0.82,5.59,10.94,0.32
12q,6.71,0.77,7.42,12.31,0.42
