Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.0005,0.0016,0.0027,0.0026,0.0001
2q,0.0014,0.0015,0.0044,0.0043,0.0002
4q,0.0035,0.0013,0.0084,0.0049,0.0004
8q,0.008,0.0013,0.0197,0.0062,0.0011
12q,0.0086,0.0012,0.0302,0.0065,0.0016
