Horizon,Real GDP,GDP Deflator Growth,Real Consumption,Real Investment,Euribor
1q,0.5,-1.7,7.1,1.3,-77.3
2q,-1.6,6.4,7.8,0.0,-26.0
4q,0.1,4.1,6.0,1.4,-2.1
8q,8.0,2.7,8.2,5.9,19.5
12q,11.8,6.2,9.9,11.3,29.4
