,losses_samp,batch_num_samp,method_samp,params_samp_0,params_samp_1
0,0.7293814738545283,0,0,1.95,0.04
1,0.7661860999267908,0,0,0.04,0.27
2,0.7218238085256424,0,0,1.04,0.51
3,0.722173757209416,0,0,0.54,0.12
4,0.7340114386673161,1,1,1.56,0.42
5,0.7166020955505313,1,1,0.65,0.47000000000000003
6,0.7424844483806409,1,1,1.85,0.63
7,0.7336831088440157,1,1,1.3,0.56
8,0.7243690621890203,2,2,0.68,0.44000000000000006
9,0.7439631855505622,2,2,1.02,0.47000000000000003
10,0.7269986574939111,2,2,0.5900000000000001,0.16999999999999998
11,0.7404484978236991,2,2,1.96,0.04
12,0.7631431481305476,3,0,1.54,0.35000000000000003
13,0.7115762923289252,3,0,0.29,0.59
14,0.7102643643774577,3,0,1.29,0.2
15,0.7190713794067846,3,0,0.79,0.43
16,0.7548115208448178,4,1,0.73,0.62
17,0.7099203054179912,4,1,0.24,0.67
18,0.7298806160796645,4,1,1.16,0.11
19,0.7294407708736412,4,1,1.27,0.26
